ankleL_x,ankleL_y,ankleL_z,ankleR_x,ankleR_y,ankleR_z,kneeL_x,kneeL_y,kneeL_z,kneeR_x,kneeR_y,kneeR_z
29.358634605875,-116.837984227447,840.496056658928,29.3205008203108,-116.848797451638,840.523055751648,29.4038715508771,-116.882636766837,840.487711998467,29.3937257746316,-116.884809632995,840.498328454747
29.3588667455078,-116.838340079834,840.496179819068,29.3202726289268,-116.848319254024,840.522835807183,29.4042675702336,-116.882793319192,840.487761870937,29.3936283977715,-116.883851091958,840.497827503668
29.3591360728812,-116.838751722442,840.496276571431,29.3200665222589,-116.847713461178,840.522592062571,29.4046683433871,-116.883016849883,840.487715816636,29.3934779947618,-116.882994417867,840.497396148738
29.359428927583,-116.839212879549,840.496344566196,29.3198758566791,-116.847006188597,840.522304946881,29.4050776560774,-116.883286138578,840.487601371957,29.393285897045,-116.882247227966,840.497041236047
29.359733675443,-116.839703083811,840.496393366145,29.3196913731311,-116.846227320543,840.521951596061,29.4054984752022,-116.883576536371,840.487440688623,29.3930593245053,-116.881617211728,840.496765634724
29.3600396395364,-116.840203623078,840.496430322209,29.3195098759501,-116.845397037004,840.521525318053,29.4059273192428,-116.883867281598,840.487245971059,29.39280047827,-116.881113016507,840.496567320969
29.3603395053105,-116.840691611384,840.496468172396,29.3193313005898,-116.844527928854,840.521029785665,29.4063595105422,-116.884139221781,840.487024862547,29.3925108873509,-116.880737511344,840.496448628567
29.3606286057274,-116.841152384777,840.496515879393,29.319160779548,-116.843622642801,840.520481870334,29.4067935395852,-116.884372199802,840.486785271289,29.3921925387165,-116.88048631797,840.496418970178
29.3609037193762,-116.841580937217,840.496576371457,29.3190017239347,-116.842684596042,840.519889723008,29.4072293358088,-116.88454779135,840.486531703747,29.3918492551698,-116.880346553533,840.496495689715
29.3611602457542,-116.841973165653,840.496650222367,29.3188550866499,-116.841720867795,840.519259033788,29.4076670943718,-116.884651256423,840.48626368394,29.3914801098255,-116.880307507162,840.496686073309
29.361393408274,-116.842325556119,840.496736647433,29.3187295562952,-116.840728458162,840.518612086081,29.40810469489,-116.884673701274,840.485977348514,29.3910782219346,-116.880364201556,840.496988457954
29.3615989455906,-116.84263538607,840.496833846246,29.3186295416164,-116.839711798811,840.517969870846,29.4085392533655,-116.884609659234,840.485668997597,29.3906412650137,-116.880504100236,840.497399263975
29.3617741794754,-116.842900360743,840.496939514876,29.3185557167265,-116.83868242538,840.517345796613,29.4089674061827,-116.884456584825,840.48533590767,29.3901659739044,-116.880721726888,840.49791405265
29.3619181321623,-116.843118674298,840.497050716464,29.3184960745802,-116.837672075214,840.516729219755,29.4093862642252,-116.884213695381,840.484978003477,29.3896539806318,-116.881007752931,840.498525935296
29.3620311095885,-116.843289108912,840.497163850923,29.3184439993169,-116.836704423339,840.516122831592,29.4097929850384,-116.883882630289,840.484596980179,29.389105493456,-116.8813572082,840.499225549608
29.3621142063131,-116.843411153427,840.497274614277,29.3183994763883,-116.835792465889,840.515543871776,29.4101854301187,-116.883466724148,840.484197372693,29.3885163501729,-116.881772186917,840.499998515146
29.3621685074769,-116.843485668907,840.497377155291,29.3183639747751,-116.834945764821,840.515014870864,29.4105608792087,-116.88297304895,840.483784025937,29.3878846081609,-116.882257129733,840.500834262747
